Holiday_ID,countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,Month
2,Austria,Neujahr,Neujahr,NULL,AT,1/1/1970,1
3,Belgium,Nieuwjaarsdag,Nieuwjaarsdag,NULL,BE,1/1/1970,1
7,Croatia,Nova Godina,Nova Godina,NULL,HR,1/1/1970,1
10,Finland,Uudenvuodenpäivä,Uudenvuodenpäivä,NULL,FI,1/1/1970,1
11,France,Jour de l'an,Jour de l'an,NULL,FR,1/1/1970,1
12,Hungary,Újév,Újév,NULL,HU,1/1/1970,1
13,Italy,Capodanno,Capodanno,NULL,IT,1/1/1970,1
18,Norway,Første nyttårsdag,Første nyttårsdag,NULL,NO,1/1/1970,1
19,Poland,Nowy Rok,Nowy Rok,NULL,PL,1/1/1970,1
20,Portugal,Ano Novo,Ano Novo,NULL,PT,1/1/1970,1
22,Spain,Año nuevo,Año nuevo,NULL,ES,1/1/1970,1
28,Scotland,New Year Holiday,New Year Holiday,NULL,NULL,1/2/1970,1
30,Norway,Søndag,Søndag,NULL,NO,1/4/1970,1
32,Austria,Heilige Drei Könige,Heilige Drei Könige,NULL,AT,1/6/1970,1
33,Croatia,Sveta tri kralja,Sveta tri kralja,NULL,HR,1/6/1970,1
34,Finland,Loppiainen,Loppiainen,NULL,FI,1/6/1970,1
35,Italy,Epifania del Signore,Epifania del Signore,NULL,IT,1/6/1970,1
36,Spain,Epifanía del Señor,Epifanía del Señor,NULL,ES,1/6/1970,1
38,Norway,Søndag,Søndag,NULL,NO,1/11/1970,1
43,Norway,Søndag,Søndag,NULL,NO,1/18/1970,1
45,Norway,Søndag,Søndag,NULL,NO,1/25/1970,1
49,Norway,Søndag,Søndag,NULL,NO,2/1/1970,2
52,Norway,Søndag,Søndag,NULL,NO,2/8/1970,2
59,Norway,Søndag,Søndag,NULL,NO,2/15/1970,2
61,Norway,Søndag,Søndag,NULL,NO,2/22/1970,2
64,Norway,Søndag,Søndag,NULL,NO,3/1/1970,3
66,Norway,Søndag,Søndag,NULL,NO,3/8/1970,3
69,Norway,Søndag,Søndag,NULL,NO,3/15/1970,3
74,Hungary,A Tanácsköztársaság kikiáltásának ünnepe,A Tanácsköztársaság kikiáltásának ünnepe,NULL,HU,3/21/1970,3
78,Norway,Søndag,Søndag,NULL,NO,3/22/1970,3
85,Norway,Skjærtorsdag,Skjærtorsdag,NULL,NO,3/26/1970,3
92,England,Good Friday,Good Friday,NULL,NULL,3/27/1970,3
93,Finland,Pitkäperjantai,Pitkäperjantai,NULL,FI,3/27/1970,3
98,Norway,Langfredag,Langfredag,NULL,NO,3/27/1970,3
99,Portugal,Sexta-feira Santa,Sexta-feira Santa,NULL,PT,3/27/1970,3
100,Scotland,Good Friday,Good Friday,NULL,NULL,3/27/1970,3
107,Belgium,Pasen,Pasen,NULL,BE,3/29/1970,3
109,Croatia,Uskrs,Uskrs,NULL,HR,3/29/1970,3
111,Finland,Pääsiäispäivä,Pääsiäispäivä,NULL,FI,3/29/1970,3
112,Hungary,Húsvét,Húsvét,NULL,HU,3/29/1970,3
113,Italy,Pasqua di Resurrezione,Pasqua di Resurrezione,NULL,IT,3/29/1970,3
115,Norway,"Første påskedag, Søndag","Første påskedag, Søndag",NULL,NO,3/29/1970,3
116,Poland,Niedziela Wielkanocna,Niedziela Wielkanocna,NULL,PL,3/29/1970,3
117,Portugal,Páscoa,Páscoa,NULL,PT,3/29/1970,3
121,Austria,Ostermontag,Ostermontag,NULL,AT,3/30/1970,3
122,Belgium,Paasmaandag,Paasmaandag,NULL,BE,3/30/1970,3
123,Croatia,Uskrsni ponedjeljak,Uskrsni ponedjeljak,NULL,HR,3/30/1970,3
126,England,Easter Monday,Easter Monday,NULL,NULL,3/30/1970,3
127,Finland,2. pääsiäispäivä,2. pääsiäispäivä,NULL,FI,3/30/1970,3
128,France,Lundi de Pâques,Lundi de Pâques,NULL,FR,3/30/1970,3
129,Hungary,Húsvét Hétf?,Húsvét Hétf?,NULL,HU,3/30/1970,3
132,Italy,Lunedì dell'Angelo,Lunedì dell'Angelo,NULL,IT,3/30/1970,3
136,Norway,Andre påskedag,Andre påskedag,NULL,NO,3/30/1970,3
137,Poland,Poniedzia?ek Wielkanocny,Poniedzia?ek Wielkanocny,NULL,PL,3/30/1970,3
144,Hungary,A felszabadulás ünnepe,A felszabadulás ünnepe,NULL,HU,4/4/1970,4
145,Norway,Søndag,Søndag,NULL,NO,4/5/1970,4
148,Norway,Søndag,Søndag,NULL,NO,4/12/1970,4
150,Norway,Søndag,Søndag,NULL,NO,4/19/1970,4
155,Italy,Festa della Liberazione,Festa della Liberazione,NULL,IT,4/25/1970,4
157,Portugal,Dia da Liberdade,Dia da Liberdade,NULL,PT,4/25/1970,4
158,Norway,Søndag,Søndag,NULL,NO,4/26/1970,4
163,Austria,Staatsfeiertag,Staatsfeiertag,NULL,AT,5/1/1970,5
164,Belgium,Dag van de Arbeid,Dag van de Arbeid,NULL,BE,5/1/1970,5
167,Croatia,Me?unarodni praznik rada,Me?unarodni praznik rada,NULL,HR,5/1/1970,5
169,Finland,Vappu,Vappu,NULL,FI,5/1/1970,5
170,France,Fête du Travail,Fête du Travail,NULL,FR,5/1/1970,5
171,Hungary,A Munka ünnepe,A Munka ünnepe,NULL,HU,5/1/1970,5
173,Italy,Festa dei Lavoratori,Festa dei Lavoratori,NULL,IT,5/1/1970,5
175,Norway,Arbeidernes dag,Arbeidernes dag,NULL,NO,5/1/1970,5
176,Poland,?wi?to Pa?stwowe,?wi?to Pa?stwowe,NULL,PL,5/1/1970,5
177,Portugal,Dia do Trabalhador,Dia do Trabalhador,NULL,PT,5/1/1970,5
178,Spain,Día del Trabajador,Día del Trabajador,NULL,ES,5/1/1970,5
183,Norway,Søndag,Søndag,NULL,NO,5/3/1970,5
184,Poland,?wi?to Narodowe Trzeciego Maja,?wi?to Narodowe Trzeciego Maja,NULL,PL,5/3/1970,5
188,Austria,Christi Himmelfahrt,Christi Himmelfahrt,NULL,AT,5/7/1970,5
189,Belgium,O.L.H. Hemelvaart,O.L.H. Hemelvaart,NULL,BE,5/7/1970,5
191,Finland,Helatorstai,Helatorstai,NULL,FI,5/7/1970,5
192,France,Ascension,Ascension,NULL,FR,5/7/1970,5
194,Norway,Kristi himmelfartsdag,Kristi himmelfartsdag,NULL,NO,5/7/1970,5
200,Norway,Søndag,Søndag,NULL,NO,5/10/1970,5
203,Belgium,Pinksteren,Pinksteren,NULL,BE,5/17/1970,5
205,Finland,Helluntaipäivä,Helluntaipäivä,NULL,FI,5/17/1970,5
206,Hungary,Pünkösd,Pünkösd,NULL,HU,5/17/1970,5
208,Norway,"Første pinsedag, Grunnlovsdag, Søndag","Første pinsedag, Grunnlovsdag, Søndag",NULL,NO,5/17/1970,5
209,Poland,Zielone ?wi?tki,Zielone ?wi?tki,NULL,PL,5/17/1970,5
212,Austria,Pfingstmontag,Pfingstmontag,NULL,AT,5/18/1970,5
213,Belgium,Pinkstermaandag,Pinkstermaandag,NULL,BE,5/18/1970,5
216,France,Lundi de Pentecôte,Lundi de Pentecôte,NULL,FR,5/18/1970,5
218,Norway,Andre pinsedag,Andre pinsedag,NULL,NO,5/18/1970,5
221,Norway,Søndag,Søndag,NULL,NO,5/24/1970,5
224,Austria,Fronleichnam,Fronleichnam,NULL,AT,5/28/1970,5
